Date,Open,High,Low,Close,Adj Close,Volume
2014-09-17,5.085890,5.170770,4.965950,5.058550,5.058550,3071840
2014-09-18,5.065430,5.065430,4.579960,4.685230,4.685230,4569260
2014-09-19,4.687290,4.755820,4.254350,4.327770,4.327770,3917450
2014-09-20,4.329200,4.616080,4.202190,4.286440,4.286440,5490660
2014-09-21,4.263070,4.300130,4.154990,4.245920,4.245920,2931220
2014-09-22,4.245930,4.416880,4.210130,4.242350,4.242350,1855960
2014-09-23,4.239990,4.881350,4.188870,4.746570,4.746570,4661670
2014-09-24,4.744200,4.745120,4.627690,4.666790,4.666790,2662290
2014-09-25,4.665880,4.671320,4.448700,4.514650,4.514650,2046960
2014-09-26,4.509930,4.551820,4.388800,4.433590,4.433590,1548350
2014-09-27,4.434390,4.489240,4.397990,4.421800,4.421800,889525
2014-09-28,4.424620,4.457610,4.202780,4.233230,4.233230,1741170
2014-09-29,4.237630,4.330250,4.198100,4.246790,4.246790,1712650
2014-09-30,4.252190,4.549010,4.225930,4.474730,4.474730,2456420
2014-10-01,4.470960,4.503740,4.384860,4.428560,4.428560,1172180
2014-10-02,4.430150,4.463480,4.286230,4.322660,4.322660,1124950
2014-10-03,4.319360,4.340310,4.164040,4.175120,4.175120,1471270
2014-10-04,4.173130,4.284040,3.888010,3.938200,3.938200,6948810
2014-10-05,3.942070,4.043420,3.480600,3.699140,3.699140,8143680
2014-10-06,3.703050,3.914860,3.572250,3.822370,3.822370,9482680
2014-10-07,3.813330,3.949860,3.688210,3.858630,3.858630,7096400
2014-10-08,3.855470,3.929890,3.747830,3.907890,3.907890,5850860
2014-10-09,3.908620,4.028760,3.865290,3.900660,3.900660,8316140
2014-10-10,3.898860,3.915890,3.774250,3.807390,3.807390,6313690
2014-10-11,3.795920,3.838970,3.677920,3.772660,3.772660,3498570
2014-10-12,3.776580,3.851470,3.696040,3.850330,3.850330,2712090
2014-10-13,3.846440,3.895740,3.791180,3.861780,3.861780,4200710
2014-10-14,3.864520,4.229110,3.864520,4.075910,4.075910,8247860
2014-10-15,4.076990,4.076990,3.992750,4.056420,4.056420,4837180
2014-10-16,4.057740,4.096800,3.958760,3.990890,3.990890,4204880
2014-10-17,3.991440,4.016030,3.953910,3.993270,3.993270,3561280
2014-10-18,3.991630,4.087730,3.954710,4.055760,4.055760,2386140
2014-10-19,4.056430,4.061460,3.974440,3.988940,3.988940,1576340
2014-10-20,3.983570,3.983570,3.877480,3.909830,3.909830,2252890
2014-10-21,3.911800,3.969940,3.900360,3.940010,3.940010,1948840
2014-10-22,3.940950,3.959960,3.838580,3.843320,3.843320,2094200
2014-10-23,3.846970,3.866060,3.726570,3.739650,3.739650,3191780
2014-10-24,3.739490,3.779810,3.724500,3.747530,3.747530,3557710
2014-10-25,3.748730,3.759840,3.629040,3.667550,3.667550,2370430
2014-10-26,3.668950,3.767370,3.661530,3.727180,3.727180,1986590
2014-10-27,3.724060,3.893320,3.713070,3.807310,3.807310,2694530
2014-10-28,3.812270,3.896580,3.794680,3.846070,3.846070,2222000
2014-10-29,3.852880,3.853330,3.720400,3.726950,3.726950,2551500
2014-10-30,3.734500,3.819170,3.719530,3.785860,3.785860,2667440
2014-10-31,3.784650,3.804540,3.745320,3.754000,3.754000,2303900
2014-11-01,3.756660,3.757150,3.559100,3.570590,3.570590,2476220
2014-11-02,3.576880,3.622910,3.554500,3.585100,3.585100,2031400
2014-11-03,3.585910,3.661750,3.556390,3.578060,3.578060,2034500
2014-11-04,3.580420,3.619530,3.547650,3.591760,3.591760,2336120
2014-11-05,3.590310,3.671090,3.590310,3.644850,3.644850,2855540
2014-11-06,3.642140,3.667410,3.618750,3.649560,3.649560,2461750
2014-11-07,3.649670,3.661960,3.554990,3.557370,3.557370,2417010
2014-11-08,3.556650,3.578750,3.532330,3.556260,3.556260,1508220
2014-11-09,3.554840,3.637300,3.546940,3.631460,3.631460,1873830
2014-11-10,3.632160,3.731090,3.593560,3.695630,3.695630,3545550
2014-11-11,3.698510,3.737800,3.674360,3.675890,3.675890,2783960
2014-11-12,3.679730,4.141510,3.679730,4.068610,4.068610,8733140
2014-11-13,4.132990,4.350220,4.019380,4.097660,4.097660,13963000
2014-11-14,4.085500,4.091200,3.861640,3.989370,3.989370,7587850
2014-11-15,3.992260,4.037660,3.809750,3.854330,3.854330,3891770
2014-11-16,3.841190,3.900950,3.825990,3.883630,3.883630,2991050
2014-11-17,3.880560,3.996990,3.830480,3.877440,3.877440,3967100
2014-11-18,3.875150,3.906040,3.751870,3.770160,3.770160,4024840
2014-11-19,3.779960,3.843930,3.772480,3.807460,3.807460,2858300
2014-11-20,3.806960,3.817500,3.585420,3.611550,3.611550,3682840
2014-11-21,3.614300,3.614300,3.480410,3.496930,3.496930,3851320
2014-11-22,3.501140,3.620630,3.489220,3.523290,3.523290,2446510
2014-11-23,3.522780,3.611970,3.515730,3.594360,3.594360,1686970
2014-11-24,3.594640,3.689080,3.569590,3.628550,3.628550,3281530
2014-11-25,3.624980,3.696700,3.545050,3.567500,3.567500,3468870
2014-11-26,3.568910,3.587150,3.535780,3.560460,3.560460,2497390
2014-11-27,3.565070,3.580250,3.552780,3.559880,3.559880,1764690
2014-11-28,3.560790,3.642770,3.500910,3.603860,3.603860,2007140
2014-11-29,3.604710,3.636120,3.570320,3.586280,3.586280,2264640
2014-11-30,3.585960,3.614120,3.562470,3.576090,3.576090,1206290
2014-12-01,3.575590,3.606920,3.566640,3.577140,3.577140,1275120
2014-12-02,3.577990,3.661590,3.577790,3.631100,3.631100,2051950
2014-12-03,3.628000,3.652850,3.582070,3.612020,3.612020,1715450
2014-12-04,3.611700,3.636800,3.586220,3.592630,3.592630,2291670
2014-12-05,3.594090,3.622510,3.575770,3.618230,3.618230,2350920
2014-12-06,3.615960,3.628230,3.603670,3.614520,3.614520,1690520
2014-12-07,3.615600,3.749530,3.608510,3.711160,3.711160,1759240
2014-12-08,3.708370,3.765220,3.653200,3.653200,3.653200,2295450
2014-12-09,3.655020,3.668920,3.482550,3.521170,3.521170,3606940
2014-12-10,3.523840,3.540680,3.481570,3.499860,3.499860,1982380
2014-12-11,3.493930,3.559810,3.439630,3.481080,3.481080,2667680
